k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
0.00024705040554568255 4251.728222642119 1325.6922416066031 649.2544690292176 1245.6228388375864 1254.3489180528982 82.12321369537725
0.00025281661443315003 4347.31293288714 1355.4955502870282 687.9704674198751 1297.746291097386 1282.548226642162 83.96936591171234
0.0002587174078595924 4445.017731247074 1385.9598954865623 727.535478562044 1351.0180673561151 1311.3740243587956 85.85652783586042
0.00026475592705670666 4544.887847662619 1417.0993792769707 767.9719895933345 1405.4664926624891 1340.8393785123335 87.78555447576785
0.0002709353865732052 4646.969409170106 1448.9283834615192 809.3028512043462 1461.119893330048 1370.9573568763426 89.75730089363122
0.0002772590759860481 4751.309455451951 1481.4615744242956 851.5512839370634 1518.0065971408737 1401.741027883036 91.77262205697647
0.00028373036165162114 4857.955947048976 1514.713905673872 894.7407922592954 1576.1549263115182 1433.20350495618 93.83237592547745
0.00029035268849778137 4966.957579590827 1548.70055946337 938.8927626297447 1635.5930102882924 1465.3591034491403 95.9374990668525
0.0002971295818577334 5078.363757036802 1583.4369384021895 984.0262319936859 1696.3487680130631 1498.2234503759623 98.08901382178453
0.0003040646493467069 5192.224806769174 1618.93873301365 1030.160478023212 1758.4501097181455 1531.8122400697187 100.28794693880543
0.0003111615827824363 5308.592004845869 1655.2219296354915 1077.3151628700873 1821.924947339226 1566.14116740352 102.53532504836143
0.0003184241601504653 5427.517590330198 1692.302814888497 1125.510338954135 1886.8011949092863 1601.2259282024484 104.83217501648927
0.0003258562476153223 5549.054779720042 1730.1979801760435 1174.7664548251514 1953.1067683281667 1637.0822189755795 107.17952350023592
0.00033346180157863627 5673.257781472523 1768.9243262135037 1225.104361050098 2020.8695857456123 1673.725737065804 109.57839722608189
0.00034124487078528897 5800.181810620674 1808.4990675863028 1276.5453161344965 2090.1175671671535 1711.172180745322 112.02982293711649
0.00034920959847872714 5929.883103477997 1848.9397373354495 1329.1109924871528 2160.878635154103 1749.4372490204712 114.53482736735349
0.0003573602246065788 6062.418920781327 1890.2641878969107 1382.8235047681897 2233.180842084906 1788.5366964445393 117.09444089788383
0.0003657010880777493 6197.847281174221 1932.4905070309396 1437.7059389289977 2307.055380708028 1828.4876152607671 119.70978119526322
0.0003742366290721981 6336.226932799752 1975.6370089182687 1493.78236443318 2382.536696416353 1869.308483483379 122.38205650582238
0.0003829713914046281 6477.617633809113 2019.722322615708 1551.0772918559705 2459.659387688707 1911.0178443152577 125.11247927546867
0.00039191002494334023 6622.080177726304 2064.7654000129132 1609.6156513255532 2538.458055829308 1953.634242004508 127.90226183047645
