# Sigma2(z) = 6.57664167e+01 (quad), 6.57718776e+01 (spline) 
1.771044025249063e-02  2.370223137785731e+02  3.397212664368793e+02 
2.228467799993079e-02  3.417500088197693e+02  -2.416063171861496e+02 
2.768190327973024e-02  4.226922680731762e+02  -1.650756495112980e+03 
3.224601404505933e-02  4.356132167825100e+02  -3.007592526763684e+03 
3.555361525999542e-02  4.094668476890965e+02  -3.658567099863092e+03 
3.827898996721694e-02  3.671357203725164e+02  -3.839601927479372e+03 
4.071131338025843e-02  3.160640200129683e+02  -3.650013871402935e+03 
4.297929738901715e-02  2.598032913617215e+02  -3.146014671591529e+03 
4.515098450745875e-02  2.007131611508563e+02  -2.365677416580121e+03 
4.726713790575666e-02  1.407177746901252e+02  -1.346045432851133e+03 
4.935451583331044e-02  8.156745176935610e+01  -1.286988190156013e+02 
5.143196672813839e-02  2.493312195250390e+01  1.236453321203439e+03 
5.351354686629337e-02  -2.757087784797946e+01  2.689311325482576e+03 
5.561025174143359e-02  -7.440195447419848e+01  4.158830815646568e+03 
5.773104149557250e-02  -1.141284409395414e+02  5.563464784803130e+03 
5.988348035975648e-02  -1.454857978114113e+02  6.812897154077878e+03 
6.207415249609623e-02  -1.674450404777523e+02  7.811263637056446e+03 
6.430894194514350e-02  -1.792888055922359e+02  8.462038579804976e+03 
6.659322655474012e-02  -1.806896722761380e+02  8.674701637662631e+03 
6.893201551848202e-02  -1.717840196286232e+02  8.373159701900291e+03 
7.133004879605455e-02  -1.532331396248812e+02  7.505681957488137e+03 
7.379187006076127e-02  -1.262618312375714e+02  6.055801018797107e+03 
7.632188081900287e-02  -9.266363065162351e+01  4.053244253217889e+03 
7.892438086096933e-02  -5.476161673194320e+01  1.583507798714038e+03 
8.160359862020065e-02  -1.531487569635495e+01  -1.205780120129735e+03 
8.436371399372736e-02  2.263625211902269e+01  -4.103955607846742e+03 
8.720887549942989e-02  5.598761378798973e+01  -6.844322966208935e+03 
9.014321319902632e-02  8.184479537728791e+01  -9.121347994505011e+03 
9.317084851648670e-02  9.783562975151006e+01  -1.061959890406854e+04 
9.629590188328351e-02  1.024321306514389e+02  -1.105452633233745e+04 
9.952249901126420e-02  9.523969881682881e+01  -1.022284954963648e+04 
1.028547765091854e-01  7.720108592157818e+01  -8.057178289012290e+03 
1.062968875049772e-01  5.065792885048613e+01  -4.675861517274980e+03 
1.098530079020037e-01  1.921765401392371e+01  -4.156024585449557e+02 
1.135273438765239e-01  -1.260805881522044e+01  4.167769965519522e+03 
1.173241412101429e-01  -3.999301730799995e+01  8.344342403424465e+03 
1.212476970421269e-01  -5.856539813284711e+01  1.130990782143142e+04 
1.253023746205307e-01  -6.524880702181630e+01  1.233882253492793e+04 
1.294926216282180e-01  -5.901330855844255e+01  1.097202754192624e+04 
1.338229926615947e-01  -4.133913060602555e+01  7.202648663946936e+03 
1.382981764492423e-01  -1.620153494961423e+01  1.603382965564089e+03 
1.429230284191281e-01  1.054970375637236e+01  -4.668649390269079e+03 
1.477026092626401e-01  3.241129730389578e+01  -1.004404224388766e+04 
1.526422302088747e-01  4.385834022087845e+01  -1.290504621592609e+04 
1.577475058225921e-01  4.200105387813797e+01  -1.209798401388413e+04 
1.630244152852302e-01  2.774124726465179e+01  -7.438995896382903e+03 
1.684793733240289e-01  5.905039702811261e+00  -9.503398982811359e+01 
1.741193122366574e-01  -1.596161325543088e+01  7.699100459693655e+03 
1.799517768394338e-01  -3.002080529030887e+01  1.253606968584707e+04 
1.859850346745668e-01  -3.112703255775960e+01  1.371872001584511e+04 
1.922282044837050e-01  -1.922892385309310e+01  4.219853384960436e+03 
2.000000000000000e-01  3.977970976803904e+00  7.187864018175293e+03 
# dSigma2(z) = 2.05345148e+01 (quad), 2.05365704e+01 (spline) 
#sigma_v0 = 1.225943e+02
#sigma_v2 = 7.666534e+01
#sigma_2_IR = 6.576642e+01
#del_sigma_2_IR = 2.053451e+01
#FFTLog init(): 1.68098 sec.
#137 Loop_integrals(): 0.694236 sec.
